log_step,episode,actor_loss,critic_loss,entropy,mean_return
48,480,-0.046686,0.045840,3.652102,-217.633911
49,490,-0.049841,0.076876,3.872371,-277.148865
50,500,-0.038023,0.038703,3.577064,-196.175461
51,510,-0.051614,0.053944,3.792436,-224.414902
52,520,-0.021818,0.061860,4.178244,-255.505722
53,530,-0.049051,0.063096,3.566579,-251.513733
54,540,-0.044943,0.049537,3.319617,-212.205734
55,550,-0.052614,0.057977,3.256295,-233.421066
56,560,-0.047030,0.069225,3.561988,-260.126373
57,570,-0.048604,0.058651,2.883409,-235.713165
58,580,-0.050962,0.072884,3.438387,-273.076508
59,590,-0.050569,0.050584,2.250295,-204.890961
60,600,-0.050706,0.069924,3.060819,-267.625580
61,610,-0.051395,0.060772,2.957314,-241.085312
62,620,-0.035986,0.053712,1.739858,-216.050385
63,630,-0.040984,0.052158,1.582522,-228.588257
64,640,-0.050842,0.064382,2.259679,-246.542694
65,650,-0.050499,0.074924,3.555772,-276.475983
66,660,-0.046622,0.061634,1.395265,-238.368500
67,670,-0.048466,0.050302,1.502740,-231.627899
68,680,-0.046843,0.058285,2.399820,-229.703445
69,690,-0.052640,0.075121,2.140089,-253.340973
70,700,-0.048719,0.056835,2.794801,-248.224014
71,710,-0.043960,0.051045,1.939743,-230.171219
72,720,-0.044631,0.064334,1.655348,-248.375336
73,730,-0.039475,0.048112,1.092216,-221.517853
74,740,-0.051583,0.054913,1.883115,-243.142334
75,750,-0.050167,0.059416,1.808284,-240.041885
76,760,-0.043159,0.051595,1.962158,-233.262756
77,770,-0.053283,0.056517,1.665694,-234.476608
78,780,-0.051841,0.054892,2.699637,-238.692596
79,790,-0.055954,0.050860,1.894708,-233.394012
80,800,-0.054895,0.068956,2.669170,-256.181213
81,810,-0.054450,0.058320,2.869427,-244.724091
82,820,-0.049518,0.066335,2.184103,-249.215042
83,830,-0.032203,0.047532,1.201802,-216.441162
84,840,-0.049532,0.064930,2.643050,-268.509338
85,850,-0.038590,0.048515,1.475122,-214.908325
86,860,-0.049433,0.062620,2.246178,-250.655121
87,870,-0.055288,0.053793,2.366573,-233.886108
88,880,-0.053139,0.092358,3.319363,-309.352081
89,890,-0.054991,0.062587,2.041578,-256.808899
90,900,-0.049357,0.058200,2.550520,-250.967743
91,910,-0.054476,0.076538,2.233606,-282.292725
92,920,-0.050866,0.062813,1.101504,-262.513092
93,930,-0.052361,0.063477,2.032249,-257.504700
94,940,-0.035290,0.048382,0.174814,-210.003632
95,950,-0.053330,0.064684,1.595022,-261.118408
96,960,-0.039814,0.059401,1.638626,-251.885635
97,970,-0.051668,0.065792,1.163808,-253.128525
98,980,-0.046510,0.076141,1.550370,-281.045959
99,990,-0.046142,0.053043,0.702680,-222.398163
100,1000,-0.051770,0.059751,2.244055,-252.610291
101,1010,-0.047091,0.047636,2.000731,-213.200409
102,1020,-0.048475,0.067203,1.554912,-253.815567
103,1030,-0.054148,0.058152,2.168394,-255.349716
104,1040,-0.052406,0.059456,1.139101,-243.541504
105,1050,-0.051392,0.047969,1.823764,-228.703033
106,1060,-0.055713,0.076604,2.638004,-283.816071
107,1070,-0.047224,0.059298,2.010793,-256.835297
108,1080,-0.052129,0.055647,3.123094,-236.172531
109,1090,-0.037113,0.050469,2.544842,-225.029297
110,1100,-0.049916,0.066028,3.180467,-256.448944
111,1110,-0.047242,0.072507,3.730933,-274.500122
112,1120,-0.054477,0.047346,1.590576,-218.153336
113,1130,-0.055553,0.055525,3.041401,-243.773590
114,1140,-0.053519,0.065178,2.997692,-273.765564
115,1150,-0.055061,0.063199,2.697768,-263.743866
116,1160,-0.051539,0.066737,2.770498,-262.930145
117,1170,-0.055511,0.060846,2.089879,-249.600449
118,1180,-0.057091,0.061216,2.460012,-258.268127
119,1190,-0.053024,0.050839,2.665508,-228.121231
120,1200,-0.054727,0.045267,2.156588,-217.950607
121,1210,-0.052686,0.079034,3.379598,-281.715424
122,1220,-0.053002,0.047932,1.886037,-208.197174
123,1230,-0.054403,0.057417,2.672596,-243.226440
124,1240,-0.055216,0.047300,2.077348,-215.787567
125,1250,-0.055127,0.048145,2.455817,-228.655533
126,1260,-0.055526,0.064553,2.260227,-256.866516
127,1270,-0.056861,0.057689,2.191191,-250.832520
128,1280,-0.055099,0.057337,1.857945,-248.953308
129,1290,-0.051904,0.035777,0.475013,-188.997040
130,1300,-0.047463,0.050272,1.655607,-215.012085
131,1310,-0.051069,0.071435,1.720913,-267.969788
132,1320,-0.056363,0.056223,0.670448,-229.708923
133,1330,-0.053534,0.068031,1.654803,-261.059082
134,1340,-0.053113,0.052942,1.057094,-238.297913
135,1350,-0.055433,0.073675,1.695234,-277.600525
