log_step,episode,actor_loss,critic_loss,entropy,mean_return
0,0,0.076576,1.185074,5.999736,-272.155548
1,10,0.144198,0.745514,7.745630,-236.826431
2,20,-0.024678,0.413425,11.703233,-195.489197
3,30,-0.001937,0.467729,11.662742,-272.195129
4,40,0.028621,0.335215,12.255099,-248.153732
5,50,0.126286,0.265466,11.674904,-257.338135
6,60,-0.022773,0.350156,10.498395,-322.266968
7,70,-0.025960,0.209325,10.511216,-252.832855
8,80,-0.011010,0.211946,9.619366,-253.249847
9,90,-0.024156,0.151342,9.488635,-231.558853
10,100,-0.003286,0.138140,9.458325,-236.460602
11,110,0.003718,0.127330,9.165684,-236.428925
12,120,-0.038552,0.108577,8.588223,-235.896896
13,130,-0.039939,0.135277,8.155692,-274.044952
14,140,-0.029866,0.155574,7.946033,-295.396362
15,150,-0.032275,0.097656,7.440584,-232.169434
16,160,-0.033202,0.074804,6.263448,-202.664490
17,170,-0.044615,0.101526,6.211875,-252.593506
18,180,-0.040922,0.098809,5.716005,-250.661942
19,190,-0.035936,0.112015,6.201193,-262.058777
20,200,-0.043362,0.073721,5.487220,-220.406647
21,210,-0.045103,0.142333,5.383794,-303.729553
22,220,-0.040082,0.084827,5.184170,-246.221283
23,230,-0.043055,0.102723,5.042185,-263.599487
24,240,-0.035600,0.093032,5.036671,-257.266663
25,250,-0.044799,0.102032,5.222124,-282.867432
26,260,-0.043757,0.076216,3.816898,-225.662231
27,270,-0.045477,0.070762,3.973129,-242.335602
28,280,-0.038642,0.078955,4.382239,-255.672409
29,290,-0.046190,0.072309,3.783741,-238.253174
30,300,-0.030389,0.098186,4.657290,-287.788818
31,310,-0.039732,0.080107,3.807566,-255.113434
32,320,-0.038127,0.045356,2.835217,-198.005890
33,330,-0.045018,0.083733,3.354263,-269.462769
34,340,-0.044233,0.080077,4.442813,-268.930878
35,350,-0.047697,0.084173,4.731674,-280.012512
36,360,-0.050017,0.064811,4.196929,-246.738556
37,370,-0.045437,0.043760,2.816759,-180.528900
38,380,-0.036589,0.050769,2.136451,-206.387939
39,390,-0.049447,0.064832,2.389823,-244.867325
40,400,-0.049343,0.085666,3.502341,-268.984375
41,410,-0.048422,0.066379,3.170118,-251.122742
42,420,-0.048841,0.082237,4.429876,-284.808685
43,430,-0.047850,0.065732,3.049655,-242.564056
44,440,-0.045563,0.076018,4.524066,-267.897125
45,450,-0.050558,0.056387,4.140354,-236.801971
46,460,-0.048892,0.075526,3.765074,-268.535248
47,470,-0.046979,0.065362,4.003597,-245.902832
